2022-05-30 16:41:49.906 | INFO     | __main__:<module>:9 - hello word
2022-05-30 16:41:49.906 | DEBUG    | __main__:<module>:10 - 这是一条debug日志
2022-05-30 16:41:49.906 | WARNING  | __main__:<module>:11 - 这是一条warning日志
2022-05-30 16:41:49.906 | SUCCESS  | __main__:<module>:12 - 这是一条success日志
2022-05-30 16:41:49.906 | ERROR    | __main__:<module>:13 - 这是一条error日志
2022-05-30T16:51:43.538460+0800INFOhello word
2022-05-30T16:51:43.538460+0800DEBUG这是一条debug日志
2022-05-30T16:51:43.538460+0800WARNING这是一条warning日志
2022-05-30T16:51:43.538460+0800SUCCESS这是一条success日志
2022-05-30T16:51:43.538460+0800ERROR这是一条error日志
2022-05-30T16:58:32.204106+0800|INFO|hello word
2022-05-30T16:58:32.209614+0800|DEBUG|这是一条debug日志
2022-05-30T16:58:32.209614+0800|WARNING|这是一条warning日志
2022-05-30T16:58:32.209614+0800|SUCCESS|这是一条success日志
2022-05-30T16:58:32.209614+0800|ERROR|这是一条error日志
2022-05-30T17:00:05.352620+0800|INFOccccc|9|hello word
2022-05-30T17:00:05.352620+0800|DEBUGccccc|10|这是一条debug日志
2022-05-30T17:00:05.352620+0800|WARNINGccccc|11|这是一条warning日志
2022-05-30T17:00:05.352620+0800|SUCCESSccccc|12|这是一条success日志
2022-05-30T17:00:05.353621+0800|ERRORccccc|13|这是一条error日志
2022-05-30T17:03:26.654929+0800|INFOccccc|9|hello word
2022-05-30T17:03:26.655928+0800|DEBUGccccc|10|这是一条debug日志
2022-05-30T17:03:26.655928+0800|WARNINGccccc|11|这是一条warning日志
2022-05-30T17:03:26.655928+0800|SUCCESSccccc|12|这是一条success日志
2022-05-30T17:03:26.655928+0800|ERRORccccc|13|这是一条error日志
2022-05-30T17:09:56.889554+0800|INFOccccc|9|hello word
2022-05-30T17:09:56.889554+0800|DEBUGccccc|10|这是一条debug日志
2022-05-30T17:09:56.889554+0800|WARNINGccccc|11|这是一条warning日志
2022-05-30T17:09:56.889554+0800|SUCCESSccccc|12|这是一条success日志
2022-05-30T17:09:56.890555+0800|ERRORccccc|13|这是一条error日志
2022-05-30T19:20:51.664984+0800|INFOccccc|9|hello word
2022-05-30T19:20:51.665982+0800|DEBUGccccc|10|这是一条debug日志
2022-05-30T19:20:51.665982+0800|WARNINGccccc|11|这是一条warning日志
2022-05-30T19:20:51.665982+0800|SUCCESSccccc|12|这是一条success日志
2022-05-30T19:20:51.665982+0800|ERRORccccc|13|这是一条error日志
2022-05-30T19:20:51.667996+0800|INFOccccc|17|我的名字叫张三
2022-05-30T19:21:28.684952+0800|INFOccccc|9|hello word
2022-05-30T19:21:28.684952+0800|DEBUGccccc|10|这是一条debug日志
2022-05-30T19:21:28.684952+0800|WARNINGccccc|11|这是一条warning日志
2022-05-30T19:21:28.685952+0800|SUCCESSccccc|12|这是一条success日志
2022-05-30T19:21:28.685952+0800|ERRORccccc|13|这是一条error日志
2022-05-30T19:21:28.687958+0800|INFOccccc|17|我的名字叫张三,今天星期几1
